OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
4539,125920404,3/9/2012 10:33:54,2,00597508,Gwynns Falls,0.263000000000000,02060003000195,1,,460,46006,0,1,0,0.002570558210959,10000400024179.000000000000000,0206,1
6266,125920510,6/10/2016 0:00:00,2,00597508,Gwynns Falls,1.066824790000000,02060003000196,1,,460,46006,0,1,0,0.010986414762377,10000400033534.000000000000000,0206,1
6268,125920602,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.430000000000000,02060003000196,1,125924171,558,55800,0,1,0,0.003953634470790,10000400033537.000000000000000,0206,1
6269,125920599,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.021000000000000,02060003000196,1,125924171,558,55800,0,1,0,0.000233362759690,10000400033538.000000000000000,0206,1
6585,125915356,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.495000000000000,02060003000196,1,,460,46006,0,1,0,0.004639511036346,10000400028752.000000000000000,0206,1
6587,125915507,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.329000000000000,02060003000196,1,,460,46006,0,1,0,0.003312486264565,10000400028754.000000000000000,0206,1
6588,125915999,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.405000000000000,02060003000196,1,125924171,558,55800,0,1,0,0.004314641512438,10000400028755.000000000000000,0206,1
6590,125915511,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.697000000000000,02060003000196,1,,460,46006,0,1,0,0.007441303388672,10000400028757.000000000000000,0206,1
7001,125915416,3/9/2012 10:32:50,2,00597508,Gwynns Falls,0.701000000000000,02060003000202,1,,460,46006,0,1,0,0.006512785380019,10000400033341.000000000000000,0206,1
9068,125915425,3/9/2012 10:32:50,2,00597508,Gwynns Falls,1.020000000000000,02060003000202,1,,460,46006,0,1,0,0.011408849227155,10000400023924.000000000000000,0206,1
9105,125915394,3/9/2012 10:33:21,2,00597508,Gwynns Falls,0.337000000000000,02060003000200,1,,460,46006,0,1,0,0.003179643486214,10000400024006.000000000000000,0206,1
9845,125915549,3/9/2012 10:32:50,2,00597508,Gwynns Falls,1.085000000000000,02060003000202,1,,460,46006,0,1,0,0.011935169789342,10000400023842.000000000000000,0206,1
11380,125915422,3/9/2012 10:32:50,2,00597508,Gwynns Falls,0.262000000000000,02060003000202,1,,460,46006,0,1,0,0.002631715006020,10000400028660.000000000000000,0206,1
12331,125915514,3/9/2012 10:33:49,2,00597508,Gwynns Falls,0.571000000000000,02060003000197,1,,460,46006,0,1,0,0.005325442685154,10000400000809.000000000000000,0206,1
12467,125920439,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.087000000000000,02060003000196,1,,460,46006,0,1,0,0.000811705581288,10000400000905.000000000000000,0206,1
12468,125920440,3/9/2012 10:33:54,2,00597508,Gwynns Falls,0.192000000000000,02060003000195,1,,460,46006,0,1,0,0.001857231430315,10000400000906.000000000000000,0206,1
15293,125915435,3/9/2012 10:32:50,2,00597508,Gwynns Falls,0.145000000000000,02060003000202,1,,460,46006,0,1,0,0.001523918782051,10000400009937.000000000000000,0206,1
16484,125920491,3/9/2012 10:33:54,2,00597508,Gwynns Falls,0.456000000000000,02060003000195,1,,460,46006,0,1,0,0.004913609390039,10000400010192.000000000000000,0206,1
16485,125920601,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.079000000000000,02060003000196,1,125924171,558,55800,0,1,0,0.000836144281301,10000400010193.000000000000000,0206,1
17273,125920416,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.285000000000000,02060003000196,1,,460,46006,0,1,0,0.002818894215134,10000400010195.000000000000000,0206,1
17856,125915427,3/9/2012 10:32:50,2,00597508,Gwynns Falls,0.825000000000000,02060003000202,1,,460,46006,0,1,0,0.008211734963491,10000400009938.000000000000000,0206,1
21471,125915597,6/10/2016 0:00:00,2,00597508,Gwynns Falls,0.398043910000000,02060003000200,1,,460,46006,0,1,0,0.003558520553219,10000400010023.000000000000000,0206,1
21472,125915584,6/10/2016 0:00:00,2,00597508,Gwynns Falls,1.307323730000000,02060003000200,1,,460,46006,0,1,0,0.012675228680015,10000400010024.000000000000000,0206,1
21473,125915380,3/9/2012 10:35:39,2,00597508,Gwynns Falls,0.117000000000000,02060003000199,1,,460,46006,0,1,0,0.001339355100116,10000400010025.000000000000000,0206,1
21936,125915821,6/10/2016 0:00:00,2,00597508,Gwynns Falls,0.947616930000000,02060003000196,1,,460,46006,0,1,0,0.010115580986013,10000400019399.000000000000000,0206,1
23579,125915998,3/9/2012 10:32:35,2,00597508,Gwynns Falls,0.018000000000000,02060003000196,1,125924171,558,55800,0,1,0,0.000164932470765,10000400019480.000000000000000,0206,1
23580,125920598,3/9/2012 10:32:27,2,,,0.012000000000000,02060003007269,1,125924171,558,55800,0,1,0,0.000138041990196,10000400019481.000000000000000,0206,1
26985,125915374,3/9/2012 10:35:22,2,00597508,Gwynns Falls,0.786000000000000,02060003000198,1,,460,46006,0,1,0,0.007733865433972,10000400000716.000000000000000,0206,1
26986,125915527,3/9/2012 10:33:21,2,00597508,Gwynns Falls,1.446000000000000,02060003000200,1,,460,46006,0,1,0,0.014607421187735,10000400000717.000000000000000,0206,1
26987,125915531,3/9/2012 10:35:05,2,00597508,Gwynns Falls,1.105000000000000,02060003000201,1,,460,46006,0,1,0,0.010065211690191,10000400000718.000000000000000,0206,1
27347,125915401,3/9/2012 10:33:21,2,00597508,Gwynns Falls,0.234000000000000,02060003000200,1,,460,46006,0,1,0,0.002320720930180,10000400000720.000000000000000,0206,1
27743,125915379,3/9/2012 10:35:22,2,00597508,Gwynns Falls,0.534000000000000,02060003000198,1,,460,46006,0,1,0,0.006137672464794,10000400014730.000000000000000,0206,1
27745,125915528,3/9/2012 10:33:21,2,00597508,Gwynns Falls,0.862000000000000,02060003000200,1,,460,46006,0,1,0,0.009240307580116,10000400014732.000000000000000,0206,1
30312,125915609,3/9/2012 10:32:50,2,00597508,Gwynns Falls,1.542000000000000,02060003000202,1,,460,46006,0,1,0,0.015751782036763,10000400014566.000000000000000,0206,1
32184,125915361,3/9/2012 10:33:49,2,00597508,Gwynns Falls,0.783000000000000,02060003000197,1,,460,46006,0,1,0,0.007464878788709,10000400005422.000000000000000,0206,1
32232,125920511,6/10/2016 0:00:00,2,00597508,Gwynns Falls,1.078028020000000,02060003000195,1,,460,46006,0,1,0,0.010183355731130,10000400005503.000000000000000,0206,1
32233,125920419,6/10/2016 0:00:00,2,00597508,Gwynns Falls,0.294213530000000,02060003000196,1,,460,46006,0,1,0,0.003240943265775,10000400005504.000000000000000,0206,1
32360,125920398,3/9/2012 10:33:20,2,00597508,Gwynns Falls,0.723000000000000,02060003000194,1,,460,46006,0,1,0,0.007752710587480,10000400014896.000000000000000,0206,1
